,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
a,,,,,,,,,,,,,,,,,,,,,,,,
b,,100.000000 μM,0.200000 %,12.500000 μM,12.500000 μM,12.500000 μM,12.500000 μM,12.500000 μM,12.500000 μM,12.500000 μM,12.500000 μM,12.500000 μM,25.000000 μM,25.000000 μM,25.000000 μM,10.000000 μM,10.000000 μM,10.000000 μM,100.000000 μM,100.000000 μM,100.000000 μM,0.200000 %,100.000000 μM,
c,,100.000000 μM,0.200000 %,2.500000 μM,2.500000 μM,2.500000 μM,6.250000 μM,6.250000 μM,6.250000 μM,6.250000 μM,6.250000 μM,6.250000 μM,8.333333 μM,8.333333 μM,8.333333 μM,2.000000 μM,2.000000 μM,2.000000 μM,33.333333 μM,33.333333 μM,33.333333 μM,0.200000 %,100.000000 μM,
d,,100.000000 μM,0.200000 %,0.500000 μM,0.500000 μM,0.500000 μM,3.125000 μM,3.125000 μM,3.125000 μM,3.125000 μM,3.125000 μM,3.125000 μM,2.777778 μM,2.777778 μM,2.777778 μM,0.400000 μM,0.400000 μM,0.400000 μM,11.111111 μM,11.111111 μM,11.111111 μM,0.200000 %,100.000000 μM,
e,,100.000000 μM,0.200000 %,0.100000 μM,0.100000 μM,0.100000 μM,1.562500 μM,1.562500 μM,1.562500 μM,1.562500 μM,1.562500 μM,1.562500 μM,0.925926 μM,0.925926 μM,0.925926 μM,0.080000 μM,0.080000 μM,0.080000 μM,3.703704 μM,3.703704 μM,3.703704 μM,0.200000 %,100.000000 μM,
f,,100.000000 μM,0.200000 %,0.020000 μM,0.020000 μM,0.020000 μM,0.781250 μM,0.781250 μM,0.781250 μM,0.781250 μM,0.781250 μM,0.781250 μM,0.308642 μM,0.308642 μM,0.308642 μM,0.016000 μM,0.016000 μM,0.016000 μM,1.234568 μM,1.234568 μM,1.234568 μM,0.200000 %,100.000000 μM,
g,,100.000000 μM,0.200000 %,0.004000 μM,0.004000 μM,0.004000 μM,0.390625 μM,0.390625 μM,0.390625 μM,0.390625 μM,0.390625 μM,0.390625 μM,0.102881 μM,0.102881 μM,0.102881 μM,0.003200 μM,0.003200 μM,0.003200 μM,0.411523 μM,0.411523 μM,0.411523 μM,0.200000 %,100.000000 μM,
h,,100.000000 μM,0.200000 %,0.000800 μM,0.000800 μM,0.000800 μM,0.195313 μM,0.195313 μM,0.195313 μM,0.195313 μM,0.195313 μM,0.195313 μM,0.034294 μM,0.034294 μM,0.034294 μM,0.000640 μM,0.000640 μM,0.000640 μM,0.137174 μM,0.137174 μM,0.137174 μM,0.200000 %,100.000000 μM,
i,,100.000000 μM,0.200000 %,12.500000 μM,12.500000 μM,12.500000 μM,12.500000 μM,12.500000 μM,12.500000 μM,12.500000 μM,12.500000 μM,12.500000 μM,25.000000 μM,25.000000 μM,25.000000 μM,10.000000 μM,10.000000 μM,10.000000 μM,100.000000 μM,100.000000 μM,100.000000 μM,0.200000 %,100.000000 μM,
j,,100.000000 μM,0.200000 %,2.500000 μM,2.500000 μM,2.500000 μM,6.250000 μM,6.250000 μM,6.250000 μM,6.250000 μM,6.250000 μM,6.250000 μM,8.333333 μM,8.333333 μM,8.333333 μM,2.000000 μM,2.000000 μM,2.000000 μM,33.333333 μM,33.333333 μM,33.333333 μM,0.200000 %,100.000000 μM,
k,,100.000000 μM,0.200000 %,0.500000 μM,0.500000 μM,0.500000 μM,3.125000 μM,3.125000 μM,3.125000 μM,3.125000 μM,3.125000 μM,3.125000 μM,2.777778 μM,2.777778 μM,2.777778 μM,0.400000 μM,0.400000 μM,0.400000 μM,11.111111 μM,11.111111 μM,11.111111 μM,0.200000 %,100.000000 μM,
l,,100.000000 μM,0.200000 %,0.100000 μM,0.100000 μM,0.100000 μM,1.562500 μM,1.562500 μM,1.562500 μM,1.562500 μM,1.562500 μM,1.562500 μM,0.925926 μM,0.925926 μM,0.925926 μM,0.080000 μM,0.080000 μM,0.080000 μM,3.703704 μM,3.703704 μM,3.703704 μM,0.200000 %,100.000000 μM,
m,,100.000000 μM,0.200000 %,0.020000 μM,0.020000 μM,0.020000 μM,0.781250 μM,0.781250 μM,0.781250 μM,0.781250 μM,0.781250 μM,0.781250 μM,0.308642 μM,0.308642 μM,0.308642 μM,0.016000 μM,0.016000 μM,0.016000 μM,1.234568 μM,1.234568 μM,1.234568 μM,0.200000 %,100.000000 μM,
n,,100.000000 μM,0.200000 %,0.004000 μM,0.004000 μM,0.004000 μM,0.390625 μM,0.390625 μM,0.390625 μM,0.390625 μM,0.390625 μM,0.390625 μM,0.102881 μM,0.102881 μM,0.102881 μM,0.003200 μM,0.003200 μM,0.003200 μM,0.411523 μM,0.411523 μM,0.411523 μM,0.200000 %,100.000000 μM,
o,,100.000000 μM,0.200000 %,0.000800 μM,0.000800 μM,0.000800 μM,0.195313 μM,0.195313 μM,0.195313 μM,0.195313 μM,0.195313 μM,0.195313 μM,0.034294 μM,0.034294 μM,0.034294 μM,0.000640 μM,0.000640 μM,0.000640 μM,0.137174 μM,0.137174 μM,0.137174 μM,0.200000 %,100.000000 μM,
p,,,,,,,,,,,,,,,,,,,,,,,,
