,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
a,,,,,,,,,,,,,,,,,,,,,,,,
b,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
c,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
d,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
e,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
f,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
g,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
h,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
i,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
j,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
k,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
l,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
m,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
n,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
o,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
p,,,,,,,,,,,,,,,,,,,,,,,,
